codigo_subclasse,descricao,codigo_classe,codigo_grupo,codigo_divisao,secao,versao_cnae
1220-4/01,Fabricação de cigarros,12.20-4,12.2,12,C,2.3
1220-4/02,Fabricação de cigarrilhas e charutos,12.20-4,12.2,12,C,2.3
1220-4/03,Fabricação de filtros para cigarros,12.20-4,12.2,12,C,2.3
1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",12.20-4,12.2,12,C,2.3
1311-1/00,Preparação e fiação de fibras de algodão,13.11-1,13.1,13,C,2.3
1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",13.12-0,13.1,13,C,2.3
1313-8/00,Fiação de fibras artificiais e sintéticas,13.13-8,13.1,13,C,2.3
1314-6/00,Fabricação de linhas para costurar e bordar,13.14-6,13.1,13,C,2.3
1321-9/00,Tecelagem de fios de algodão,13.21-9,13.2,13,C,2.3
1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",13.22-7,13.2,13,C,2.3
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,13.23-5,13.2,13,C,2.3
1330-8/00,Fabricação de tecidos de malha,13.30-8,13.3,13,C,2.3
1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",13.40-5,13.4,13,C,2.3
1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",13.40-5,13.4,13,C,2.3
1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",13.40-5,13.4,13,C,2.3
1351-1/00,Fabricação de artefatos têxteis para uso doméstico,13.51-1,13.5,13,C,2.3
1352-9/00,Fabricação de artefatos de tapeçaria,13.52-9,13.5,13,C,2.3
1353-7/00,Fabricação de artefatos de cordoaria,13.53-7,13.5,13,C,2.3
1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",13.54-5,13.5,13,C,2.3
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,13.59-6,13.5,13,C,2.3
1411-8/01,Confecção de roupas íntimas,14.11-8,14.1,14,C,2.3
1411-8/02,Facção de roupas íntimas,14.11-8,14.1,14,C,2.3
1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",14.12-6,14.1,14,C,2.3
1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",14.12-6,14.1,14,C,2.3
1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",14.12-6,14.1,14,C,2.3
1413-4/01,"Confecção de roupas profissionais, exceto sob medida",14.13-4,14.1,14,C,2.3
1413-4/02,"Confecção, sob medida, de roupas profissionais",14.13-4,14.1,14,C,2.3
1413-4/03,Facção de roupas profissionais,14.13-4,14.1,14,C,2.3
1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",14.14-2,14.1,14,C,2.3
1421-5/00,Fabricação de meias,14.21-5,14.2,14,C,2.3
1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",14.22-3,14.2,14,C,2.3
1510-6/00,Curtimento e outras preparações de couro,15.10-6,15.1,15,C,2.3
1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",15.21-1,15.2,15,C,2.3
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,15.29-7,15.2,15,C,2.3
1531-9/01,Fabricação de calçados de couro,15.31-9,15.3,15,C,2.3
1531-9/02,Acabamento de calçados de couro sob contrato,15.31-9,15.3,15,C,2.3
1532-7/00,Fabricação de tênis de qualquer material,15.32-7,15.3,15,C,2.3
1533-5/00,Fabricação de calçados de material sintético,15.33-5,15.3,15,C,2.3
1539-4/00,"Fabricação de calçados de materiais não especificados
anteriormente",15.39-4,15.3,15,C,2.3
1540-8/00,"Fabricação de partes para calçados, de qualquer material",15.40-8,15.4,15,C,2.3
1610-2/03,Serrarias com desdobramento de madeira em bruto,16.10-2,16.1,16,C,2.3
1610-2/04,Serrarias sem desdobramento de madeira em bruto - Resseragem,16.10-2,16.1,16,C,2.3
1610-2/05,Serviço de tratamento de madeira realizado sob contrato,16.10-2,16.1,16,C,2.3
1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",16.21-8,16.2,16,C,2.3
1622-6/01,Fabricação de casas de madeira pré-fabricadas,16.22-6,16.2,16,C,2.3
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,16.22-6,16.2,16,C,2.3
1622-6/99,Fabricação de outros artigos de carpintaria para construção,16.22-6,16.2,16,C,2.3
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,16.23-4,16.2,16,C,2.3
1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",16.29-3,16.2,16,C,2.3
1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",16.29-3,16.2,16,C,2.3
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,17.10-9,17.1,17,C,2.3
1721-4/00,Fabricação de papel,17.21-4,17.2,17,C,2.3
1722-2/00,Fabricação de cartolina e papel-cartão,17.22-2,17.2,17,C,2.3
1731-1/00,Fabricação de embalagens de papel,17.31-1,17.3,17,C,2.3
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,17.32-0,17.3,17,C,2.3
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,17.33-8,17.3,17,C,2.3
1741-9/01,Fabricação de formulários contínuos,17.41-9,17.4,17,C,2.3
1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",17.41-9,17.4,17,C,2.3
1742-7/01,Fabricação de fraldas descartáveis,17.42-7,17.4,17,C,2.3
1742-7/02,Fabricação de absorventes higiênicos,17.42-7,17.4,17,C,2.3
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,17.42-7,17.4,17,C,2.3
1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",17.49-4,17.4,17,C,2.3
1811-3/01,Impressão de jornais,18.11-3,18.1,18,C,2.3
1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",18.11-3,18.1,18,C,2.3
1812-1/00,Impressão de material de segurança,18.12-1,18.1,18,C,2.3
1813-0/01,Impressão de material para uso publicitário,18.13-0,18.1,18,C,2.3
1813-0/99,Impressão de material para outros usos,18.13-0,18.1,18,C,2.3
1821-1/00,Serviços de pré-impressão,18.21-1,18.2,18,C,2.3
1822-9/01,Serviços de encadernação e plastificação,18.22-9,18.2,18,C,2.3
1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",18.22-9,18.2,18,C,2.3
1830-0/01,Reprodução de som em qualquer suporte,18.30-0,18.3,18,C,2.3
1830-0/02,Reprodução de vídeo em qualquer suporte,18.30-0,18.3,18,C,2.3
1830-0/03,Reprodução de software em qualquer suporte,18.30-0,18.3,18,C,2.3
